Bolagsnamn,Org.nr,Besöksadress,Postnr,Ort,Kommun,Omsättning (Mkr),Omsättningsår,Anställda,Grundat,Hemsida,Mejl,Status
Friday Väst AB,5591411326,Kungsportsavenyen 10,411 36,Göteborg,Göteborg,176.8,2025,191,2017,https://www.friday.se,info@friday.se,Ny kandidat
Nordic Interim Executive Solutions Aktiebolag,5566554050,Vasagatan 11 11 TR,111 20,Stockholm,Stockholm,174.4,2024,14,2004,https://www.nordicinterim.com,info@nordicinterim.com,Ny kandidat
A-Staffing Construction AB,5590337464,Nya Tingstadsgatan 1,422 44,Hisings Backa,Göteborg,173.1,2025,172,2015,https://www.astaffing.se,info@astaffing.se,Ny kandidat
Effective Sourcing EFFSO AB,5567293922,Röntgenvägen 3 d,171 54,Solna,Solna,169.3,2025,62,2007,https://effso.se,info@effso.se,Ny kandidat
Wise Professionals Konsult AB,5566127030,Linnégatan 87,115 23,Stockholm,Stockholm,164.8,2025,89,2001,https://www.wise.se,info@wise.se,Ny kandidat
Egon Zehnder Management AB,5569194185,Hsb Turning Torso,211 15,Malmö,Malmö,159.8,2025,25,2013,https://www.egonzehnder.com,,Ny kandidat
AKG Sverige AB,5593579823,Hannebergsgatan 33,171 68,Solna,Solna,150.5,2025,131,2021,,,Ny kandidat
ProTrain Resurs AB,5591215578,Stora Torget 4 a,595 30,Mjölby,Mjölby,150.1,2025,143,2017,https://www.protrain.se/,,Ny kandidat
VG Consulting Sweden AB,5592555519,Jungmansgatan 12,211 11,Malmö,Malmö,149.5,2024,62,2020,,,Ny kandidat
Marieberg Media AB,5563347953,Gjörwellsgatan 30,112 60,Stockholm,Stockholm,148.6,2024,171,1988,https://www.mariebergmedia.se,,Ny kandidat
Medcura AB,5566426242,Sturegatan 56 1tr,114 36,Stockholm,Stockholm,141.1,2024,79,2003,https://medcura.se/,info@medcura.se,Ny kandidat
Novare Executive Search Aktiebolag,5563068211,Blasieholmsg. 4 B,111 48,Stockholm,Stockholm,130.5,2025,59,1987,https://novare.se/executive-search/en/,,Ny kandidat
Wise Consulting AB,5564219763,Linnégatan 87,115 23,Stockholm,Stockholm,127.3,2025,66,1991,https://en.wisegroup.se/verksamhet/wise-consulting/wiseconsulting/,,Ny kandidat
Future Value AB,5568024326,Lästmakargatan 10,111 44,Stockholm,Stockholm,125.2,2025,26,2010,https://futurevalue.se/,info@futurevalue.se,Ny kandidat
Corplus AB,5568863582,Gamla Brogatan 34,111 20,Stockholm,Stockholm,124.6,2025,22,2012,https://www.corplus.se/,,Ny kandidat
Agito Sverige AB,5567457121,Neptunigatan 52,211 18,Malmö,Malmö,124,2025,33,2007,https://www.agito.org,,Ny kandidat
Prodiem AB,5566374186,Saltmätargatan 7,113 59,Stockholm,Stockholm,123.8,2026,7,2002,https://www.prodiem.se/en/startpage/,,Ny kandidat
Partbyggen i Kalix AB,5564003357,Industrigatan 17,952 31,Kalix,Kalix,118.5,2024,205,1990,,,Ny kandidat
Agila FPA AB,5590853676,"c/o UNITED SPACES, Götgatan 22 a",118 46,Stockholm,Stockholm,118.1,2023,80,2016,https://www.agila.se/,,Ny kandidat
Jobandtalent Manufacturing Sweden AB,5564611845,Norra Promenaden 63,602 38,Norrköping,Norrköping,116,2024,214,1993,https://www.jobandtalent.se/foretag/industri-och-tillverkning/norrkoping,,Ny kandidat
Floatel Service AB,5569678856,Lilla Badhusgatan 2,411 21,Göteborg,Göteborg,114.9,2024,14,2014,https://www.floatel.no/,,Ny kandidat
Agila Social Care AB,5590026653,"c/o UNITED SPACES, Götgatan 22 a",118 46,Stockholm,Stockholm,114.5,2023,69,2015,https://www.agila.se/,,Ny kandidat
KilaPeople AB,5593366098,Tjusarvägen 38,744 51,Morgongåva,Heby,113.3,2025,301,2021,https://www.kila.se/en,,Ny kandidat
Flexcare Sweden AB,5590554399,Jungmansgatan 12,211 11,Malmö,Malmö,110.9,2025,8,2016,https://www.flexcare.se,lakare@flexcare.se,Ny kandidat
Palmelind Konsult AB,5568910235,Storgatan 93,90333,Umeå,Haparanda,110.9,2025,50,2012,https://www.magnifiq.nu/,,Ny kandidat
Norwegian Air Resources Sweden AB,5569174419,Tornvägen 17 a,190 60,Stockholm-Arlanda,Sigtuna,109.6,2024,58,2013,,,Ny kandidat
Colivia Sweden AB,5590624911,"c/o Adam Lindberg, Odengatan 36",113 51,Stockholm,Stockholm,107.1,2024,134,2016,https://colivia.com/sv/,,Ny kandidat
Brain Competence AB,5590165204,Brunnsgatan 5,111 38,Stockholm,Stockholm,105.3,2025,9,2015,https://braincompetence.se/,,Ny kandidat
CO-WORKER TECHNOLOGY SWEDEN AB,5568036585,Virkesvägen 12,120 30,Stockholm,Stockholm,98.6,2024,18,2010,,,Ny kandidat
SjukvårdsMäklarna Sverige AB,5569220469,"c/o Konrad Advokater, Box 2051",750 02,Uppsala,Uppsala,97.9,2023,20,2013,https://www.sjukvardsmaklarna.se/,,Ny kandidat
iDoc AB,5569456824,Sandgatan 9,602 21,Norrköping,Norrköping,93.3,2023,25,2013,,,Ny kandidat
Invida Vårdservice AB,5567326185,Lustbergsvägen 6,781 71,Borlänge,Borlänge,93.1,2024,12,2007,,,Ny kandidat
Doktorsjouren Nordic AB,5590500061,Alströmergatan 36 Bv,112 47,Stockholm,Stockholm,90.2,2023,58,2016,,,Ny kandidat
Tech Talents Consulting i Sverige AB,5591906689,Platensgatan 26,582 20,Linköping,Linköping,88.1,2025,107,2019,https://techtalents.se,,Ny kandidat
Athletic Work Sverige AB,5568455058,Arenavägen 41,121 77,Johanneshov,Stockholm,87.8,2022,187,2011,,,Ny kandidat
ProTrain Bemanning AB,5567587422,Stora Torget 4 a,595 30,Mjölby,Mjölby,86.8,2025,0,2008,https://www.protrain.se/bemanning/,,Ny kandidat
Brightmill AB,5568618697,Norrlandsgatan 10,111 43,Stockholm,Stockholm,85,2025,12,2011,https://www.brightmill.se,kontakt@brightmill.se,Ny kandidat
SEnterprise Sverige AB,5569962771,Kungsgatan 62,111 22,Stockholm,Stockholm,82.8,2025,10,2014,https://www.senterprise.se,info@senterprise.se,Ny kandidat
Evolution Recruitment Solutions AB,5593165961,"c/o Servando Bolag AB, Box 5814",102 48,Stockholm,Stockholm,82.2,2024,1-4,2021,https://www.evolutionjobs.com,,Ny kandidat
Eyes4work AB,5591640734,Bäckstensgatan 9,431 49,Mölndal,Mölndal,82.1,2024,91,2018,https://www.eyes4work.se,info@eyes4work.se,Ny kandidat
Capa AgnC AB,5591979710,Oxtorgsgatan 4,111 57,Stockholm,Stockholm,82,2025,13,2019,https://capa.se,info@capa.se,Ny kandidat
Tribonum Vårdbemanning AB,5590702550,"c/o Medelia AB, Mailbox 2307",111 75,Stockholm,Stockholm,81.6,2025,13,2016,https://www.tribonum.se,kontakt@tribonum.se,Ny kandidat
SS COMPANY AB,5569090466,Norra Kopparslagargatan 18,803 11,Gävle,Gävle,80.6,2024,5,2012,,,Ny kandidat
PRO TEMPORE Sthlm AB,5592140379,Norrlandsgatan 22,111 43,Stockholm,Stockholm,79.9,2025,20,2019,https://www.protempore.com,,Ny kandidat
Instacura AB,5590931381,Markörvägen 13,191 44,Sollentuna,Sollentuna,78.7,2025,59,2016,https://instacura.se,info@instacura.se,Ny kandidat
Z.K Services AB,5590431812,Nobelvägen 2,802 67,Gävle,Gävle,78.4,2025,120,2015,,,Ny kandidat
Markresurserna i Sala AB,5568065931,Eljansbo 109,733 92,Sala,Sala,77.5,2025,32,2010,https://markresurserna.se,,Ny kandidat
Academic Search International Consulting AB,5566834874,Sveavägen 47,113 59,Stockholm,Stockholm,77.4,2024,41,2005,https://www.academicsearch.se,,Ny kandidat
TrainPool Sverige AB,5569620189,Växlarevägen 25,170 63,Solna,Solna,77.3,2024,42,2014,https://www.trainpool.se,,Ny kandidat
Brödernas Group AB,5590838073,Kungsgatan 9,111 43,Stockholm,Stockholm,76.6,2024,27,2016,https://www.brodernas.nu,,Ny kandidat
B Singh Investment AB,5569635120,Iei 678-9 Billo,106 43,Stockholm,Stockholm,76.5,2024,0,2014,,,Ny kandidat
Meritmind Resources AB,5568152648,Sveavägen 17,111 57,Stockholm,Stockholm,76.2,2025,84,2010,https://meritmind.se,info@meritmind.se,Ny kandidat
Q Workforce AB,5592002702,Banvaktsvägen 24,171 48,Solna,Solna,73.9,2025,55,2019,https://q-workforce.com,,Ny kandidat
Dreamwork Scandinavia AB,5566957600,Drottninggatan 1,252 21,Helsingborg,Helsingborg,72.6,2024,71,2006,https://www.dreamwork.se,,Ny kandidat
Butängens Bud & Lots AB,5568759004,Hydraulvägen 2,616 34,Åby,Norrköping,72.4,2024,44,2011,https://butangensbud.se,,Ny kandidat
Idaliv AB,5592435209,Skolhusallén 3,852 32,Sundsvall,Sundsvall,72.3,2025,50,2020,https://idaliv.se,,Ny kandidat
R.M din bemanning AB,5593445637,Sörbygatan 23,464 61,Brålanda,Vänersborg,72.1,2025,75,2021,,,Ny kandidat
Pontus Frithiof Crew AB,5590307236,Travbanevägen 1,168 64,Bromma,Stockholm,70.9,2025,188,2015,,,Ny kandidat
IndustriQompetens Mälardalen AB,5565877759,Pilgatan 8 C,721 30,Västerås,Västerås,70.5,2025,97,2000,https://industriqompetens.se,info@industriqompetens.se,Ny kandidat
RGB Sweden AB,5590130463,Västergatan 19,434 30,Kungsbacka,Kungsbacka,69.8,2025,2,2015,https://rgbsweden.se,,Ny kandidat
Consensus Sverige AB,5566299284,Aspholmsv. 9,702 27,Örebro,Örebro,69.4,2025,47,2002,http://www.consensus.nu,,Ny kandidat
Novare Interim & Recruitment AB,5566338017,Blasieholmsgatan 4 b,111 48,Stockholm,Stockholm,69.2,2025,25,2002,https://www.novare.se,,Ny kandidat
Svenska Tjänstegruppen Aktiebolag,5568419005,Dagagatan 32,646 32,Gnesta,Gnesta,67.3,2025,55,2011,https://www.svenskatjanstegruppen.se,,Ny kandidat
Market Partner Scandinavia AB,5567754782,Drottninggatan 33 3tr,111 51,Stockholm,Stockholm,65.7,2025,38,2009,https://marketpartner.se,,Ny kandidat
Innovative People Sweden AB,5594666926,Hangövägen 29,115 41,Stockholm,Stockholm,65,2025,146,2024,https://www.innovativepeople.se,info@innovativepeople.se,Ny kandidat
Stensjö Vårdresurs AB,5591939839,Engelbrektsgatan 7 a,411 27,Göteborg,Göteborg,64.3,2026,8,2019,,,Ny kandidat
Twindej Experience AB,5568014095,Hamngränd 6,721 30,Västerås,Västerås,63.9,2024,31,2010,https://www.twindej.se,info@twindej.se,Ny kandidat
S R Intelligence AB,5590889381,Kungsgatan 58,111 22,Stockholm,Stockholm,62,2025,35,2016,https://sri.se,,Ny kandidat
Aktiebolaget Stockholms Brunnsbad,5564693074,Drottninggatan 88,111 36,Stockholm,Stockholm,61.8,2024,18,1993,,,Ny kandidat
Sharp Recruitment Sweden AB,5569928467,Barnhusgatan 4,111 23,Stockholm,Stockholm,61.7,2025,17,2014,https://sharprecruitment.se,info@sharprecruitment.se,Ny kandidat
SMBF Service Aktiebolag,5565494605,Flygfältsgatan 8 b,128 30,Skarpnäck,Stockholm,61.7,2025,37,1997,,,Ny kandidat
OIO Väst AB,5593515835,Kungsportsavenyen 10,411 36,Göteborg,Göteborg,61.6,2025,86,2021,https://oio.se,,Ny kandidat
Scandinavian Executive AB,5569773947,Box 161,18122,Täby,Stockholm,61.6,2025,4,2014,https://www.scandinavianexecutive.se,info@scandinavianexecutive.se,Ny kandidat
Skvalberget Bygg AB,5593542599,Solkraftsvägen 16 b,135 70,Stockholm,Stockholm,60.8,2024,57,2021,,,Ny kandidat
Xamera Consulting AB,5591108179,Industrigatan 5,582 77,Linköping,Linköping,60.7,2025,96,2017,https://www.xamera.se,,Ny kandidat
Friday Öst AB,5592225253,Skeppsbron 38,111 30,Stockholm,Stockholm,60.5,2025,72,2019,https://www.friday.se,info@friday.se,Ny kandidat
Re:Con Finance AB,5590455274,Luntmakargatan 85,113 51,Stockholm,Stockholm,60.2,2025,43,2015,https://www.reconfinance.se/,,Ny kandidat
Health Connect 365 AB,5594546888,Lodjursstråket 1,417 51,Göteborg,Göteborg,58.9,2025,52,2023,https://www.healthconnect365.se/,,Ny kandidat
AdatoCare AB,5590231857,Brännavägen 45,871 62,Härnösand,Härnösand,58,2025,44,2015,https://adatocare.se/,info@adatocare.se,Ny kandidat
Devine Group AB,5594078585,Kungsvägen 18,147 31,Tumba,Botkyrka,57.4,2025,9,2022,,,Ny kandidat
Skicklig Service i Stockholm AB,5564990710,Skolvägen 10,121 32,Enskededalen,Stockholm,57.1,2025,60,1994,,,Ny kandidat
Inneklimat Jönköping AB,5568942600,Ringvägen 67,331 32,Värnamo,Värnamo,56.7,2025,14,2012,,,Ny kandidat
Utbetalning Sverige AB,5594849407,Markvardsgatan 11,113 53,Stockholm,Stockholm,55.6,2025,60,2024,https://utbetalning.com/,,Ny kandidat
KGT Trafik AB,5563351674,Skenvägen 7,281 43,Hässleholm,Hässleholm,55.5,2022,20,1988,https://www.kgtkristianstad.se/,,Ny kandidat
Demox AB,5591104087,Box 2195,600 02,Norrköping,Norrköping,55.4,2025,28,2017,https://www.demoxab.se/,,Ny kandidat
Coop Butiksservice i Sverige AB,5594056011,Norra Stationsgatan 69,113 64,Stockholm,Stockholm,55.3,2024,48,2022,,,Ny kandidat
MR Logistik AB,5590389085,Stenbrovägen 21,253 68,Helsingborg,Helsingborg,54.8,2024,17,2015,https://mrlogistik.se/,info@mrlogistik.se,Ny kandidat
Newr AB,5592302615,Vasagatan 28,111 20,Stockholm,Stockholm,54.5,2025,19,2019,https://www.newr.se/,hej@newr.se,Ny kandidat
Flipr AB,5593466757,Mässans Gata 18 Vån 8,412 51,Göteborg,Göteborg,53.9,2025,10,2021,https://flipr.se/,,Ny kandidat
Crowd Collective Stockholm AB,5591746028,Gamla Tanneforsvägen 92,582 52,Linköping,Linköping,53.7,2024,38,2018,https://www.crowdcollective.com/,,Ny kandidat
Oirps AB,5590701800,Karlavägen 65 3 Tr,114 49,Stockholm,Stockholm,52.9,2024,135,2016,https://sprio.se/,,Ny kandidat
Andcompany Sweden AB,5592212566,Karlavägen 73 3 TR,114 49,Stockholm,Danderyd,52.9,2025,25,2019,https://www.andcompany.se/,,Ny kandidat
Curonova Consulting AB,5569807455,Östermalmstorg 1,114 42,Stockholm,Stockholm,52.7,2025,43,2014,https://www.curonova.se/,,Ny kandidat
ShowPro TN AB,5567112791,Renstiernas Gata 14,116 28,Stockholm,Stockholm,52.1,2024,64,2006,https://www.showpro.se/,,Ny kandidat
Agigo AB,5593295339,Sveavägen 34,111 34,Stockholm,Stockholm,51.7,2025,24,2021,https://agigo.se/,info@agigo.se,Ny kandidat
UngdomsKraft AB,5591713606,Södra Hamnvägen 44,115 41,Stockholm,Stockholm,51.6,2025,71,2018,,,Ny kandidat
DK lyft&transport AB,5567335665,Energivägen 11,19637,Kungsängen,Upplands-Bro,51.3,2024,20,2007,http://www.dklyft.nu,,Ny kandidat
Wheelwork Sweden AB,5592471386,Saleby Dalen Jung 1,535 92,Kvänum,Lidköping,51,2024,105,2020,,,Ny kandidat
Matchedin AB,5590137716,Wallingatan 42 Bv,111 24,Stockholm,Stockholm,50.4,2025,37,2015,https://www.matchedin.se/,,Ny kandidat
D&J Solutions AB,5593745697,Birger Svenssons Väg 11,432 40,Varberg,Varberg,50.3,2025,40,2022,,,Ny kandidat
Friday Syd AB,5594520750,Adelgatan 9,211 22,Malmö,Malmö,50.2,2025,53,2023,https://friday.se/,info@friday.se,Ny kandidat
HSA Söderqvist Service AB,5566380472,Kungsgatan 36,111 35,Stockholm,Stockholm,49.7,2025,30,2003,,,Ny kandidat
Procruitment Jönköping AB,5592185507,Gjuterigatan 9 Bv,553 18,Jönköping,Jönköping,49.7,2024,46,2019,https://www.procruitment.se/,info@procruitment.se,Ny kandidat
Academic Search International Aktiebolag,5564069879,Sveavägen 47,113 59,Stockholm,Stockholm,49.6,2024,32,1990,https://www.academicsearch.se/,info@academicsearch.se,Ny kandidat
Devoote AB,5569458333,Per Weijersgatan 2,211 34,Malmö,Malmö,49.4,2025,14,2013,https://www.devoote.se/,,Ny kandidat
Entreprenad Partner i Stockholm AB,5593769242,Box 27 Trident,762 21,Rimbo,Norrtälje,48.8,2025,3,2022,https://www.entreprenadpartner.se/,,Ny kandidat
BUILDBASE ÖREBRO AB,5590949961,Skottvägen 24,703 84,Örebro,Örebro,48.8,2024,58,2016,,,Ny kandidat
Svenska Storesupport Bemanning AB,5566559422,Vretenvägen 13,171 54,Solna,Solna,48.6,2024,76,2004,https://www.storesupport.se/,,Ny kandidat
TWINDEJ AB,5567597272,Hamngränd 6,721 30,Västerås,Västerås,48.3,2024,30,2008,https://www.twindej.se/,info@twindej.se,Ny kandidat
Ikett Elektro AB,5567785901,Aklejavägen 6,371 54,Karlskrona,Karlskrona,48.3,2024,60,2009,https://www.ikett.com/,,Ny kandidat
Real Competence Svenska AB,5565832564,Kungsgatan 35,111 56,Stockholm,Stockholm,48.2,2025,10,2000,https://www.realcompetence.se/,info@realcompetence.se,Ny kandidat
Capio Bemanning och Rekrytering AB,5568994361,Lilla Bommen 5,405 22,Göteborg,Göteborg,48.1,2025,28,2012,,,Ny kandidat
Nordisk Spårteknik AB,5591794721,Tolvmilavägen 1,784 74,Borlänge,Borlänge,47.7,2024,21,2018,,,Ny kandidat
Invoicery Europe AB,5595041681,Dag Hammarskjölds Väg 13,752 37,Uppsala,Uppsala,47.6,2025,1,2024,https://www.invoicery.com/,info@invoicery.com,Ny kandidat
Amrop AB,5562944032,Blasieholmsgatan 5 6tr,111 48,Stockholm,Stockholm,46.4,2025,29,1987,https://www.amrop.com/sweden,,Ny kandidat
ANTS Akademiskt Nätverk av Tekniska Studenter AB,5566536230,Sveavägen 34,111 34,Stockholm,Stockholm,46.3,2025,48,2004,https://www.ants.se/,rekrytering@ants.se,Ny kandidat
Crowd Collective Linköping AB,5593342586,Gamla Tanneforsvägen 92,582 52,Linköping,Linköping,45.7,2024,27,2021,https://www.crowdcollective.com/,,Ny kandidat
Astrid Crew Sverige AB,5594162280,Lilla Sörikringsvägen 10,475 53,Rörö,Öckerö,45.3,2025,27,2023,,,Ny kandidat
H o S Sverige AB,5591184618,Vasagatan 16,111 20,Stockholm,Stockholm,45.1,2025,3,2017,https://www.houseofskills.se/,,Ny kandidat
CureLink AB,5592170194,Esplanaden 15 b,234 39,Lomma,Lomma,45.1,2025,6,2019,https://curelink.se/,,Ny kandidat
Mediate Nordic AB,5566443023,Stora Södergatan 49,222 23,Lund,Lund,44.3,2025,5,2003,https://mediatenordic.se/,,Ny kandidat
TB-Group AB,5590966759,Gävlegatan 12 a,113 30,Stockholm,Stockholm,44.1,2025,40,2017,https://www.tb-group.se/,info@tb-group.se,Ny kandidat
Korn Ferry RPO (Sweden) AB,5593139867,Norrlandsgatan 18,111 43,Stockholm,Stockholm,44.1,2025,45,2021,https://www.kornferry.com/,,Ny kandidat
Software Skills International AB,5569001927,Drottninggatan 38 3tr,411 07,Göteborg,Göteborg,43.7,2025,6,2012,https://softwareskills.se/,,Ny kandidat
Lagersupport AB,5563944130,Fågelviksvägen 5 g,145 53,Norsborg,Botkyrka,43.7,2025,46,1990,,,Ny kandidat
SEVR Finance AB,5593277113,Fredsgatan 1,411 07,Göteborg,Göteborg,43.1,2025,21,2021,https://www.sevr.se,,Ny kandidat
Curaliv AB,5569869513,Järva Skjutbaneväg 62,170 62,Solna,Solna,43.1,2025,15,2014,https://www.curaliv.se/,,Ny kandidat
Svensk Vårdsupport AB,5568095375,Vasagatan 12,111 20,Stockholm,Stockholm,42.4,2024,19,2010,https://www.vardsupport.se,kontor@vardsupport.se,Ny kandidat
Star People Partner Sweden AB,5569414724,Grev Turegatan 11 a Vån 5,114 46,Stockholm,Stockholm,42.2,2025,42,2013,,,Ny kandidat
Human Capital Group HCG AB,5567011225,Torsgatan 13,111 23,Stockholm,Stockholm,42.1,2025,20,2006,https://humancapital.se,info@humancapital.se,Ny kandidat
Musikalliansen i Sverige AB,5567538615,Hornsgatan 103 12tr,117 28,Stockholm,Stockholm,41.9,2025,172,2008,https://musikalliansen.se,info@musikalliansen.se,Ny kandidat
Daysa Construction AB,5594751140,Lodjursstråket 1,417 51,Göteborg,Göteborg,41.7,2025,29,2024,https://www.daysa.se,,Ny kandidat
Digitalenta AB,5592480486,Malmskillnadsgatan 44 a,111 57,Stockholm,Stockholm,41.6,2025,36,2020,https://www.digitalenta.se,hej@digitalenta.se,Ny kandidat
Engvalls Spår & Mark AB,5590500616,Nordhemsgatan 41 c,413 06,Göteborg,Göteborg,40.6,2024,8,2016,,,Ny kandidat
CMG Logistik AB,5569607723,Styrstad Holken,605 92,Norrköping,Norrköping,40.2,2025,39,2014,,,Ny kandidat
Styrka Transport och Logistik AB,5593943854,Mariehällsvägen 22,131 47,Nacka,Nacka,40.1,2025,15,2022,,,Ny kandidat
Wise Professionals AB,5567612865,Linnégatan 87,115 23,Stockholm,Stockholm,39.9,2025,18,2008,https://www.wise.se,,Ny kandidat
Operationskonsulterna Stockholm AB,5569643561,Kindstugatan 1,111 31,Stockholm,Stockholm,39.6,2024,65,2014,https://operationskonsulterna.se,,Ny kandidat
Kraftsam Rekrytering & Bemanning AB,5590649207,Odengatan 40,113 51,Stockholm,Stockholm,39.5,2025,10,2016,https://kraftsam.se,info@kraftsam.se,Ny kandidat
IMPRESSIVE RELATIONS SWEDEN AB,5568514003,Sveavägen 163,113 46,Stockholm,Stockholm,39.4,2025,46,2011,https://www.impressiverelations.se,,Ny kandidat
LäkarAkademien Sverige AB,5567203871,Skårängsvägen 26,806 32,Gävle,Gävle,39,2025,1,2007,,,Ny kandidat
Safemind AB,5566420393,Kammakargatan 7 6tr,111 40,Stockholm,Stockholm,38.8,2025,17,2003,https://www.safemind.se,mail@safemind.se,Ny kandidat
Farmartjänst Kungsbacka AB,5566013925,Höglandavägen 214 a,434 95,Kungsbacka,Kungsbacka,38.8,2025,5,2000,https://www.farmartjanst.se,,Ny kandidat
KellyOCG Sweden AB,5594071622,Hollsvattnet 221,975 91,Luleå,Luleå,38.3,2024,0,2022,https://www.kellyocg.com,,Ny kandidat
Medfind AB,5567245351,Östra Vittusgatan 36,371 14,Karlskrona,Karlskrona,38.2,2023,20,2007,https://www.medfind.se,,Ny kandidat
Friday Sydost AB,5594675117,Ågatan 14,582 22,Linköping,Linköping,38.1,2025,44,2024,https://friday.se,,Ny kandidat
Invoicery AB,5569015349,Dag Hammarskjölds Väg 13,752 37,Uppsala,Uppsala,37.7,2025,20,2012,https://www.invoicery.com,,Ny kandidat
Pharm match AB,5591279012,Musseronvägen 21,141 60,Huddinge,Huddinge,37.2,2024,0,2017,https://www.pharmmatch.se,,Ny kandidat
