Bolagsnamn,Org.nr,Hemsida,Mejl,Fokusnotering,Träffsäkerhet,Besöksadress,Ort,Omsättning (Mkr),Anställda
F.H.U Premium AB,5593334609,https://fhupremiumab.com,,"Bygg-/hantverksbemanning (elektriker, snickare, byggarbetare).",medium,Nobelvägen 2 Box 975,Gävle,253.3,50
Jobandtalent Staffing Sweden South AB,5567338727,https://www.jobandtalent.se,,"Bemanning av kollektivanställda och tjänstemän, systerbolag till Jobandtalent Logistics (industri/lager).",high,Bures Gata 11,Malmö,248.7,173
TG Tunnelgruppen AB,5593281289,,,"Bemanning och konsultverksamhet inom bergarbete, tunnelbyggande och bergteknik.",medium,Bjursta 204,Sollefteå,241.0,42
Xamera AB,5569356735,https://xamera.se,,"Rekrytering, särskilt unga ingenjörer och studenter inom IT och teknik.",high,Industrigatan 5,Linköping,239.0,219
Alumni AB,5564311826,https://alumni.se,,"Chefsrekrytering, interim management, search & selection och executive search.",medium,Kungsbron 1 d 8,Stockholm,226.5,66
Gazella AB,5569733982,https://www.gazella.se,info@gazella.se,Rekrytering och interim inom ekonomi/finans.,high,Västra Järnvägsgatan 23,Stockholm,226.0,115
Braathens People AB,5569393712,,,Bemanning av kabin-/flygpersonal för Braathens Regional Airlines (flygbemanning) - inget eget separat kundvarumärke hittat.,medium,Gårdsfogdevägen 16,Bromma,222.4,249
Sirius Crew AB,5591297360,,,Sjöfartsbemanning - besättning/crew till fartyg inom Sirius Shipping-koncernen.,medium,Donsö Hamnväg 38,Donsö,219.4,209
Viva Bemanning AB,5591982029,https://www.vivabemanning.se,info@vivabemanning.se,"Vårdbemanning - läkare, sjuksköterskor, undersköterskor, terapeuter och socionomer.",high,Gånstavägen 4,Enköping,212.0,124
Egon Zehnder Sweden AB,5569194177,https://www.egonzehnder.com,,"Executive search, styrelserekrytering och ledarskapsrådgivning.",high,Turning Torso,Malmö,197.0,1
CXC Global Sweden AB,5591659932,https://www.cxcglobal.com,,"Global kontraktors-/konsulthantering, Employer of Record (EOR) och bemanning.",high,Birger Jarlsgatan 57 b,Stockholm,196.5,1
Gigapay Sweden AB,5590703616,https://www.gigapay.com,,Utbetalningsplattform för frilansare/kreatörer (gig-ekonomi) - agerar Merchant of Record snarare än traditionell bemanning.,high,Brunnsgränd 4 5tr,Stockholm,195.3,15
Finance Recruitment Sweden AB,5569686552,https://www.financerecruitment.se,info@financerecruitment.se,"Rekrytering och interim inom ekonomi, redovisning, bank och finans.",high,Kungsgatan 4 A 3TR,Stockholm,186.8,31
MU Group AB,5594082009,,,Okänt.,low,Sveavägen 24-26,Stockholm,177.2,49
Friday Väst AB,5591411326,https://www.friday.se,info@friday.se,"IT/tech-rekrytering - utveckling, DevOps, systemteknik och teknisk upphandling.",high,Kungsportsavenyen 10,Göteborg,176.8,191
Nordic Interim Executive Solutions Aktiebolag,5566554050,https://www.nordicinterim.com,info@nordicinterim.com,Interim executive management - placering av erfarna ledare på hög nivå.,high,Vasagatan 11 11 TR,Stockholm,174.4,14
A-Staffing Construction AB,5590337464,https://www.astaffing.se,info@astaffing.se,Byggbemanning - yrkesarbetare och tjänstemän inom bygg och anläggning.,high,Nya Tingstadsgatan 1,Hisings Backa,173.1,172
Effective Sourcing EFFSO AB,5567293922,https://effso.se,info@effso.se,Inköpskonsulting samt interim- och rekryteringstjänster inom inköp/supply chain.,high,Röntgenvägen 3 d,Solna,169.3,62
Wise Professionals Konsult AB,5566127030,https://www.wise.se,info@wise.se,"Rekrytering och konsultlösningar inom ekonomi, HR, IT, sälj, marknadsföring och administration.",high,Linnégatan 87,Stockholm,164.8,89
Egon Zehnder Management AB,5569194185,https://www.egonzehnder.com,,Executive search / ledarskapsrådgivning - systerbolag till Egon Zehnder Sweden AB.,medium,Hsb Turning Torso,Malmö,159.8,25
Hallands Hamnar AB,5569084204,https://www.hallandshamnar.se,,"Okänt - är en hamnoperatör (containrar, RoRo, skogsprodukter) och rekryterar endast till egen verksamhet; verkar inte vara ett bemanningsföretag trots SNI-klassningen.",low,Sibiriegatan 2,Halmstad,159.1,160
AKG Sverige AB,5593579823,,,Okänt.,low,Hannebergsgatan 33,Solna,150.5,131
ProTrain Resurs AB,5591215578,https://www.protrain.se/,,"Bemanning och utbildning av lokförare, växlare och tågpersonal (järnvägsbemanning).",high,Stora Torget 4 a,Mjölby,150.1,143
VG Consulting Sweden AB,5592555519,,,"Internationell etablering, HR-outsourcing, immigration och rekrytering (generalist/global mobility).",medium,Jungmansgatan 12,Malmö,149.5,62
Marieberg Media AB,5563347953,https://www.mariebergmedia.se,,"Bemanning och rekrytering av journalister och medieyrken, ägt av Bonnier News.",high,Gjörwellsgatan 30,Stockholm,148.6,171
Gottebiten Strömstad AB,5565810248,https://www.gottebiten.se,,"Egentligen en gränshandelskedja för godis/tobak/dryck, inte ett traditionellt bemannings-/rekryteringsföretag trots SNI-kod; sannolikt intern personalbolagsdel.",medium,Nordby Köpcentrum Västra 1,Strömstad,141.7,218
Medcura AB,5566426242,https://medcura.se/,info@medcura.se,Vårdbemanning - sjuksköterskor och specialistsjuksköterskor (OP/anestesi/IVA) till offentlig och privat vård.,high,Sturegatan 56 1tr,Stockholm,141.1,79
Tor-Ön Fiske AB,5569132532,,,Registrerat under uthyrning/bemanning men verksamheten avser fiske/fiskeindustri (Fiskebäcks Hamn); ej ett kundfacing bemanningsföretag i traditionell mening. Okänt.,low,Fiskebäcks Hamn 20,Västra Frölunda,132.0,10
Novare Executive Search Aktiebolag,5563068211,https://novare.se/executive-search/en/,,Chefsrekrytering/executive search - ett av Sveriges ledande bolag inom rekrytering av chefer och ledare.,high,Blasieholmsg. 4 B,Stockholm,130.5,59
Wise Consulting AB,5564219763,https://en.wisegroup.se/verksamhet/wise-consulting/wiseconsulting/,,"HR-konsulting: interim-HR, ledarskap och organisationsutveckling, del av Wise Group.",high,Linnégatan 87,Stockholm,127.3,66
Future Value AB,5568024326,https://futurevalue.se/,info@futurevalue.se,Rekrytering av ekonomer till fasta tjänster och konsultuppdrag (ekonomi/finans).,high,Lästmakargatan 10,Stockholm,125.2,26
Corplus AB,5568863582,https://www.corplus.se/,,Uthyrning av interimskonsulter inom ekonomi och HR samt organisationsutveckling.,high,Gamla Brogatan 34,Stockholm,124.6,22
Agito Sverige AB,5567457121,https://www.agito.org,,Vårdbemanning och rekrytering av läkare och sjuksköterskor i Norden.,high,Neptunigatan 52,Malmö,124.0,33
Prodiem AB,5566374186,https://www.prodiem.se/en/startpage/,,"Rekrytering och interimskonsulter inom ekonomi, finans och HR.",high,Saltmätargatan 7,Stockholm,123.8,7
Partbyggen i Kalix AB,5564003357,,,Personaluthyrning och entreprenad inom bygg-/anläggningsbranschen (del av Concentus i Kalix-koncernen).,medium,Industrigatan 17,Kalix,118.5,205
Agila FPA AB,5590853676,https://www.agila.se/,,"Vårdbemanning - läkare, sjuksköterskor och socionomer till kommuner, regioner och privata vårdgivare (del av Agila Group).",high,"c/o UNITED SPACES, Götgatan 22 a",Stockholm,118.1,80
Worknode Freelance AB,5591561294,https://www.worknode.se/,,"Egenanställningsplattform för frilansare/konsulter (fakturering utan eget bolag), snarare än traditionell bemanning. Okänt/annat.",high,Medborgarplatsen 25,Stockholm,117.4,200-499
Jobandtalent Manufacturing Sweden AB,5564611845,https://www.jobandtalent.se/foretag/industri-och-tillverkning/norrkoping,,Industri- och tillverkningsbemanning (verkstad/tillverkningsindustri) via digital bemanningsplattform.,high,Norra Promenaden 63,Norrköping,116.0,214
Floatel Service AB,5569678856,https://www.floatel.no/,,"Personaluthyrning inom maritim/offshore-sektorn, kopplat till Floatel International (boendefartyg för offshoreprojekt).",medium,Lilla Badhusgatan 2,Göteborg,114.9,14
Agila Social Care AB,5590026653,https://www.agila.se/,,Bemanning och rekrytering av socionomer/socialarbetare (del av Agila Group).,medium,"c/o UNITED SPACES, Götgatan 22 a",Stockholm,114.5,69
KilaPeople AB,5593366098,https://www.kila.se/en,,"Rekrytering och bemanning inom lager och logistik, med fokus på mångfald och inkludering.",high,Tjusarvägen 38,Morgongåva,113.3,301
Palmelind Konsult AB,5568910235,https://www.magnifiq.nu/,,Vårdbemanning och rekrytering till offentlig sektor (via dotterverksamheten Magnifiq Kompetens).,high,Storgatan 93,Umeå,110.9,50
Flexcare Sweden AB,5590554399,https://www.flexcare.se,lakare@flexcare.se,Vårdbemanning - specialister på uthyrning av läkare och sjuksköterskor.,high,Jungmansgatan 12,Malmö,110.9,8
Norwegian Air Resources Sweden AB,5569174419,,,Flygbemanning - anställningsbolag för kabinpersonal inom Norwegian-koncernen (ingen egen extern webbplats funnen).,medium,Tornvägen 17 a,Stockholm-Arlanda,109.6,58
Colivia Sweden AB,5590624911,https://colivia.com/sv/,,Digital vårdbemanningsplattform - uthyrning av sjuksköterskor och läkare.,high,"c/o Adam Lindberg, Odengatan 36",Stockholm,107.1,134
Brain Competence AB,5590165204,https://braincompetence.se/,,Rekrytering och interimskonsulter inom ekonomi/finans (arbetar uteslutande med ekonomer).,high,Brunnsgatan 5,Stockholm,105.3,9
SAMgruppen AB,5590127253,https://www.samgruppen.se,info@samgruppen.se,"Egenanställning/fakturering (SAMpoolen) samt ekonomi- och konsulttjänster, snarare än traditionell bemanning/rekrytering. Okänt/annat.",medium,Norr Mälarstrand 38,Stockholm,103.4,2
CO-WORKER TECHNOLOGY SWEDEN AB,5568036585,,,Rekrytering och uthyrning av tekniska konsulter/ingenjörer och IT-specialister (kontor i Gävle/Stockholm).,medium,Virkesvägen 12,Stockholm,98.6,18
SjukvårdsMäklarna Sverige AB,5569220469,https://www.sjukvardsmaklarna.se/,,Vårdbemanning - konsultsjuksköterskor och annan vårdpersonal i Sverige och Norge.,high,"c/o Konrad Advokater, Box 2051",Uppsala,97.9,20
iDoc AB,5569456824,,,Kunde inte säkert identifieras (idoc.se är en obesläktad bygg-/hemförbättringssajt). Okänt.,low,Sandgatan 9,Norrköping,93.3,25
Invida Vårdservice AB,5567326185,,,Läkarbemanning - förvärvades av Colivia Sweden AB och ingår numera i Colivias läkarbemanningsverksamhet.,medium,Lustbergsvägen 6,Borlänge,93.1,12
Svevia Betong AB,5568875602,,,"Ingen koppling till bemanning/rekrytering kunde bekräftas; namnet antyder anläggnings-/betongverksamhet, eventuellt kopplat till Svevia-koncernen (väg/anläggning). Okänt.",low,"c/o Svevia AB (publ), Box 12188",Stockholm,91.0,101
Doktorsjouren Nordic AB,5590500061,,,"Namnet indikerar läkarbemanning/jourläkartjänster, men ingen fungerande webbplats kunde hittas. Okänt.",low,Alströmergatan 36 Bv,Stockholm,90.2,58
Cansolo AB,5590773593,https://www.cansolo.se,info@cansolo.se,"Egenanställningsplattform för soloentreprenörer/frilansare (konsulter, fotografer, artister), ej traditionell bemanning. Okänt/annat.",high,Torkel Knutssonsgatan 24,Stockholm,88.5,195
Tech Talents Consulting i Sverige AB,5591906689,https://techtalents.se,,IT-rekrytering och konsultuthyrning av tekniker/utvecklare.,high,Platensgatan 26,Linköping,88.1,107
Athletic Work Sverige AB,5568455058,,,Kunde inte säkert identifieras via webbsökning; ingen bekräftad webbplats hittades. Okänt.,low,Arenavägen 41,Johanneshov,87.8,187
ProTrain Bemanning AB,5567587422,https://www.protrain.se/bemanning/,,"Bemanning av lokförare, växlare och tågpersonal (järnvägsbemanning), systerbolag till ProTrain Resurs AB.",high,Stora Torget 4 a,Mjölby,86.8,0
Brightmill AB,5568618697,https://www.brightmill.se,kontakt@brightmill.se,"Interim management och executive search inom ekonomi, HR, fastighet, supply chain, IT-ledning m.m.",high,Norrlandsgatan 10,Stockholm,85.0,12
SA Markanläggning AB,5569769648,,,Namnet indikerar mark-/anläggningsentreprenad snarare än bemanning/rekrytering; ingen webbplats hittad. Okänt.,low,Orrspelsgatan 11 a,Knivsta,83.5,17
SEnterprise Sverige AB,5569962771,https://www.senterprise.se,info@senterprise.se,"IT-rekrytering - cloud/DevOps, dataengineering, webb-/apputveckling, AI/ML, tech-ledarskap.",high,Kungsgatan 62,Stockholm,82.8,10
Evolution Recruitment Solutions AB,5593165961,https://www.evolutionjobs.com,,"Global rekryteringsfirma inom teknik/IT-talanger, med nordisk/svensk verksamhet.",medium,"c/o Servando Bolag AB, Box 5814",Stockholm,82.2,1-4
Eyes4work AB,5591640734,https://www.eyes4work.se,info@eyes4work.se,"Generell bemanning och jobbmatchning (del av Tranpenad Group), ingen specifik branschnisch angiven.",high,Bäckstensgatan 9,Mölndal,82.1,91
Capa AgnC AB,5591979710,https://capa.se,info@capa.se,"Rekrytering, interim och executive solutions (bl.a. HR, Finans, Legal, Supply Chain) - marknadsförs som varumärket ""Capa"".",high,Oxtorgsgatan 4,Stockholm,82.0,13
Tribonum Vårdbemanning AB,5590702550,https://www.tribonum.se,kontakt@tribonum.se,"Vårdbemanning - uthyrning av läkare och sjuksköterskor till regioner, kommuner och privata vårdgivare.",high,"c/o Medelia AB, Mailbox 2307",Stockholm,81.6,13
SS COMPANY AB,5569090466,,,"Okänt - sökresultat pekar mot handel med livsmedel/textil/skyddsutrustning, ingen tydlig egen bemanningsverksamhet hittad trots SNI-klassning.",low,Norra Kopparslagargatan 18,Gävle,80.6,5
PRO TEMPORE Sthlm AB,5592140379,https://www.protempore.com,,"Interimkonsulter inom ekonomi/finans (""100% Finance Interim"").",high,Norrlandsgatan 22,Stockholm,79.9,20
Instacura AB,5590931381,https://instacura.se,info@instacura.se,"Vårdbemanning - uthyrning av läkare, sjuksköterskor och undersköterskor.",high,Markörvägen 13,Sollentuna,78.7,59
Z.K Services AB,5590431812,,,Okänt - ingen tydlig träff på egen webbplats eller bransch kunde bekräftas.,low,Nobelvägen 2,Gävle,78.4,120
Markresurserna i Sala AB,5568065931,https://markresurserna.se,,Personaluthyrning inom mark/anläggning - uthyrning av personal och maskiner för markentreprenad.,high,Eljansbo 109,Sala,77.5,32
Academic Search International Consulting AB,5566834874,https://www.academicsearch.se,,"Executive search, rekrytering och interim management på ledningsnivå.",high,Sveavägen 47,Stockholm,77.4,41
TrainPool Sverige AB,5569620189,https://www.trainpool.se,,"Bemanning, utbildning och konsulttjänster inom järnvägsbranschen.",high,Växlarevägen 25,Solna,77.3,42
Brödernas Group AB,5590838073,https://www.brodernas.nu,,Restaurangkedja (hamburgare/franchise); bemanning enligt SNI-kod är sannolikt en intern personalfunktion inom koncernen snarare än extern bemanningstjänst.,medium,Kungsgatan 9,Stockholm,76.6,27
B Singh Investment AB,5569635120,,,"Blandad verksamhet - fastighetsskötsel/trädgård samt bemanning och rekryteringskonsult/jobbcoachning nämns i verksamhetsbeskrivning, men ingen egen webbplats hittad.",low,Iei 678-9 Billo,Stockholm,76.5,0
Meritmind Resources AB,5568152648,https://meritmind.se,info@meritmind.se,"Bemanning, rekrytering och utbildning inom ekonomi/finans.",high,Sveavägen 17,Stockholm,76.2,84
Q Workforce AB,5592002702,https://q-workforce.com,,"Bemanning/manpower för marin-, olja & gas- samt metallindustrisektorn (svetsare, rörläggare, mekaniker); del av QW Group.",high,Banvaktsvägen 24,Solna,73.9,55
Dreamwork Scandinavia AB,5566957600,https://www.dreamwork.se,,"Bemanning och rekrytering inom ekonomi, teknik, sälj/marknad, IT och management.",high,Drottninggatan 1,Helsingborg,72.6,71
Butängens Bud & Lots AB,5568759004,https://butangensbud.se,,"Bud- och transportföretag med förarbemanning - personaluthyrning inom transport/logistik, ej traditionell kontorsrekrytering.",high,Hydraulvägen 2,Åby,72.4,44
Idaliv AB,5592435209,https://idaliv.se,,"Vårdbemanning - sjuksköterskor, läkare och undersköterskor, samt utbildning inom vård.",high,Skolhusallén 3,Sundsvall,72.3,50
R.M din bemanning AB,5593445637,,,Personaluthyrning (bransch oklar) - ingen egen webbplats hittad.,low,Sörbygatan 23,Brålanda,72.1,75
Adway AB,5591269286,https://adway.ai,,"HR-tech/rekryteringsmarknadsföring - mjukvara som omvandlar jobbannonser till riktade sociala mediekampanjer för talent acquisition-team, ej traditionell bemanningsbyrå.",high,Masthamnsgatan 21,Göteborg,71.6,28
Pontus Frithiof Crew AB,5590307236,,,"Bemanningsverksamhet (personaluthyrning) enligt registerdata, del av koncernen Förvaltnings AB Lappkärret, men ingen egen webbplats hittad.",low,Travbanevägen 1,Bromma,70.9,188
MAQS Advokatbyrå Sverige AB,5566091459,https://maqs.com,malmo@maqs.com,"Affärsjuridisk advokatbyrå - verksamheten är juridisk rådgivning, ej bemanning/rekrytering trots SNI-klassning i underlaget.",medium,Nordenskiöldsgatan 8,Malmö,70.8,47
IndustriQompetens Mälardalen AB,5565877759,https://industriqompetens.se,info@industriqompetens.se,Industribemanning - kollektivanställda och tjänstemän till industriföretag i Mälardalen.,high,Pilgatan 8 C,Västerås,70.5,97
RGB Sweden AB,5590130463,https://rgbsweden.se,,Bemanning av elektriker/tekniker till marin- och offshoresektorn (bl.a. kryssningsfartyg).,high,Västergatan 19,Kungsbacka,69.8,2
Consensus Sverige AB,5566299284,,,"Okänt - kunde inte säkert särskiljas från andra företag/organisationer med namnet ""Consensus"" i sökresultaten.",low,Aspholmsv. 9,Örebro,69.4,47
Novare Interim & Recruitment AB,5566338017,https://www.novare.se,,"Rekrytering, interim och konsulttjänster inom Human Capital (executive search, specialistrekrytering, volymrekrytering); del av Novare-koncernen.",medium,Blasieholmsgatan 4 b,Stockholm,69.2,25
Svenska Tjänstegruppen Aktiebolag,5568419005,https://www.svenskatjanstegruppen.se,,"Bemanning av tekniker (elektriker, mekaniker) inom fordons- och tågunderhåll.",high,Dagagatan 32,Gnesta,67.3,55
Market Partner Scandinavia AB,5567754782,https://marketpartner.se,,"Bemanning/rekrytering inom retail samt events och utbildning (affärsområden Talent, Event, Academy, Retail).",high,Drottninggatan 33 3tr,Stockholm,65.7,38
Innovative People Sweden AB,5594666926,https://www.innovativepeople.se,info@innovativepeople.se,"Bemanning/rekrytering av säljare (sales) inom flera branscher, bl.a. finans, ekonomi och HR.",high,Hangövägen 29,Stockholm,65.0,146
Stensjö Vårdresurs AB,5591939839,,,"Sannolikt vårdbemanning utifrån namnet (""Vårdresurs""), men ingen egen webbplats kunde säkerställas.",low,Engelbrektsgatan 7 a,Göteborg,64.3,8
Rådek Redovisning & Revision AB,5569561185,https://www.radek.se,,"Redovisning, revision, rådgivning, skatt och lön - ej bemanning i traditionell mening trots SNI-klassning.",medium,Rademachergatan 6,Eskilstuna,64.1,86
Twindej Experience AB,5568014095,https://www.twindej.se,info@twindej.se,"Teknik/entreprenad för spårfordon (tåg) inklusive utbildning; koppling till personalbemanning oklar - webbplatsen tillhör sannolikt samma koncern (Twindej AB) snarare än ""Experience""-bolaget specifikt.",low,Hamngränd 6,Västerås,63.9,31
S R Intelligence AB,5590889381,,,Okänt - ingen träff kunde säkert kopplas till bolaget.,low,Kungsgatan 58,Stockholm,62.0,35
Aktiebolaget Stockholms Brunnsbad,5564693074,,,"Okänt - namnet antyder fastighet/badanläggning, ingen uppenbar bemanningsverksamhet hittades i sökresultaten.",low,Drottninggatan 88,Stockholm,61.8,18
Sharp Recruitment Sweden AB,5569928467,https://sharprecruitment.se,info@sharprecruitment.se,"Rekrytering och interim/konsultuthyrning inom juridik, compliance och ekonomi/finans.",high,Barnhusgatan 4,Stockholm,61.7,17
SMBF Service Aktiebolag,5565494605,,,Okänt - ingen fungerande egen webbplats eller tydlig branschbeskrivning hittades.,low,Flygfältsgatan 8 b,Skarpnäck,61.7,37
OIO Väst AB,5593515835,https://oio.se,,"Rekrytering inom ekonomi, administration, supply chain, HR, marknad och kundservice - regional (västra Sverige) enhet inom OIO-koncernen.",high,Kungsportsavenyen 10,Göteborg,61.6,86
Scandinavian Executive AB,5569773947,https://www.scandinavianexecutive.se,info@scandinavianexecutive.se,"Affärsnära interim management - C-suite, HR, ekonomi, sälj/marknad, IT och offentlig sektor.",high,Box 161,Täby,61.6,4
Skvalberget Bygg AB,5593542599,,,Okänt - namnet antyder byggverksamhet/entreprenad; ingen egen webbplats hittad.,low,Solkraftsvägen 16 b,Stockholm,60.8,57
Xamera Consulting AB,5591108179,https://www.xamera.se,,"Rekrytering/matchning av juniora talanger inom IT, tech och industri.",high,Industrigatan 5,Linköping,60.7,96
Friday Öst AB,5592225253,https://www.friday.se,info@friday.se,IT/tech-rekrytering - sannolikt en regional (öst) enhet inom Friday-koncernen.,medium,Skeppsbron 38,Stockholm,60.5,72
Jobtip AB,5590332648,https://jobtip.com,support@jobtip.com,"Rekryteringsmarknadsföring/annonsdistribution (HR-tech-plattform för automatiserad jobbannonsering), ej traditionell bemanningsbyrå.",high,Stampgatan 14,Göteborg,60.4,21
Re:Con Finance AB,5590455274,https://www.reconfinance.se/,,"Rekrytering och bemanning av ekonomer/finansprofiler (CFO, business controllers, redovisning).",high,Luntmakargatan 85,Stockholm,60.2,43
Health Connect 365 AB,5594546888,https://www.healthconnect365.se/,,"Vårdbemanning - sjuksköterskor, läkare och andra vårdkonsulter.",high,Lodjursstråket 1,Göteborg,58.9,52
AdatoCare AB,5590231857,https://adatocare.se/,info@adatocare.se,Vårdbemanning - sjuksköterskor och undersköterskor till kommuner och regioner.,high,Brännavägen 45,Härnösand,58.0,44
Devine Group AB,5594078585,,,"Okänt. Bedriver konsultverksamhet inom affärsutveckling, rekrytering, försäljning och ledarskap enligt bolagsregister, men ingen egen hemsida kunde hittas.",low,Kungsvägen 18,Tumba,57.4,9
Skicklig Service i Stockholm AB,5564990710,,,"Personaluthyrning inom restaurang/catering (kockar m.m.), ingen egen hemsida hittad.",low,Skolvägen 10,Enskededalen,57.1,60
Inneklimat Jönköping AB,5568942600,,,"Okänt. Dotterbolag till Inneklimat Svenska AB (ventilation/klimat), klassat som personaluthyrning, men flera olika 'Inneklimat'-bolag med separata hemsidor gjorde det osäkert vilken som tillhör detta specifika bolag.",low,Ringvägen 67,Värnamo,56.7,14
Utbetalning Sverige AB,5594849407,https://utbetalning.com/,,"Egenanställnings-/faktureringsföretag - administrerar lön, skatt och avgifter för frilansare/konsulter utan eget bolag.",high,Markvardsgatan 11,Stockholm,55.6,60
KGT Trafik AB,5563351674,https://www.kgtkristianstad.se/,,"Transport/logistik samt personaluthyrning inom godstrafik, omlastning och lagring. Obs: sökresultat nämnde ev. konkursförfarande för bolaget.",medium,Skenvägen 7,Hässleholm,55.5,20
Demox AB,5591104087,https://www.demoxab.se/,,Bemanning inom bygg - sanering och rivning (asbest- och PCB-sanering).,high,Box 2195,Norrköping,55.4,28
Coop Butiksservice i Sverige AB,5594056011,,,Okänt. Verkar vara ett internt bemannings-/servicebolag kopplat till Coop-butikskedjan (bl.a. inventeringstjänster); ingen egen hemsida hittad.,low,Norra Stationsgatan 69,Stockholm,55.3,48
MR Logistik AB,5590389085,https://mrlogistik.se/,info@mrlogistik.se,"Bemanning och förmedling inom transport, lager och logistik (chaufförer, 3PL).",high,Stenbrovägen 21,Helsingborg,54.8,17
Newr AB,5592302615,https://www.newr.se/,hej@newr.se,Rekrytering och interimslösningar inom ekonomi och finans.,high,Vasagatan 28,Stockholm,54.5,19
Flipr AB,5593466757,https://flipr.se/,,"Interimskonsulter inom HR, ekonomi, management samt supply chain/produktion.",high,Mässans Gata 18 Vån 8,Göteborg,53.9,10
Crowd Collective Stockholm AB,5591746028,https://www.crowdcollective.com/,,"IT/tech-konsultbemanning - utvecklare, designers och analytiker.",high,Gamla Tanneforsvägen 92,Linköping,53.7,38
Andcompany Sweden AB,5592212566,https://www.andcompany.se/,,"Egenanställningsföretag - fakturering, bokföring och löneadministration för konsulter utan eget bolag.",high,Karlavägen 73 3 TR,Stockholm,52.9,25
Oirps AB,5590701800,https://sprio.se/,,"Bemanning och rekrytering inom kundtjänst, sälj och support (bolaget drivs/marknadsförs under namnet Sprio - samma orgnr bekräftat via bolagsregister).",high,Karlavägen 65 3 Tr,Stockholm,52.9,135
Curonova Consulting AB,5569807455,https://www.curonova.se/,,"Omställning, karriärvägledning och outplacement (Rusta och Matcha, TSL-omställning) snarare än traditionell rekrytering/bemanning.",high,Östermalmstorg 1,Stockholm,52.7,43
ShowPro TN AB,5567112791,https://www.showpro.se/,,"Eventbemanning - scenpersonal, ljud/ljus/scenbygge och säkerhet för konserter och evenemang.",high,Renstiernas Gata 14,Stockholm,52.1,64
